Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,Genre,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,MTW Status,,genres,imdb_score
The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",37.75617,-122.407,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,"22nd Street San Francisco California,",,Color,80,193,133,820,Scott Glenn,2000,21500000,Adventure,Dennis Quaid,The Right Stuff,45271,6341,Sam Shepard,English,USA,PG,27000000,826,7.9,1.85,0,Matching,,Adventure,7.9
Star Trek II : The Wrath of Khan,1982,Golden Gate Park,37.76937,-122.482,Nicholas Meyer,Jack B. Sowards,William Shatner,Leonard Nimoy,George Takei,"Golden Gate Park San Francisco California,",,Color,148,116,120,664,Kirstie Alley,12000,78900000,Action,Leonard Nimoy,Star Trek II: The Wrath of Khan,91414,16539,Nichelle Nichols,English,USA,PG,11000000,980,7.7,2.35,0,Matching,,Action,7.7
Can't Stop the Music,1980,101 Henry Adams Place,37.768344,-122.403888,Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose,"101 Henry Adams San Francisco California,",,Color,26,124,42,161,Randy Jones,801,2000000,Biography,Steve Guttenberg,Can't Stop the Music,2998,1462,Caitlyn Jenner,English,USA,PG,20000000,174,4.5,2.35,1000,Matching,,Biography,4.5
Superman,1978,Golden Gate Bridge,37.83029,-122.48,Richard Donner,Jerry Siegel,Christopher Reeve,Gene Hackman,Marlon Brando,"Golden Gate Bridge San Francisco California,",,Color,169,188,503,467,Margot Kidder,10000,134218018,Action,Marlon Brando,Superman,126357,12940,Ned Beatty,English,USA,PG,55000000,593,7.3,2.35,0,Matching,,Action,7.3
High Anxiety,1977,"Conservatory of Flowers, Golden Gate Park",37.7726,-122.46,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman,"Conservatory of Flowers San Francisco California,",,Color,55,94,0,605,Harvey Korman,1000,,Comedy,Madeline Kahn,High Anxiety,15115,2861,Dick Van Patten,English,USA,PG,3400000,628,6.7,1.85,0,Matching,,Comedy,6.7
Family Plot,1976,2230 Sacramento Street,37.79366,-122.404,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,"2230 Sacramento Street San Francisco California,",,Color,67,120,13000,416,Bruce Dern,897,,Comedy,Ed Lauter,Family Plot,15293,2811,William Devane,English,USA,PG,4490375,844,6.8,1.85,609,Matching,,Comedy,6.8
The Conversation,1974,Alamo Square (Hayes Valley),37.77636,-122.435,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,"Alamo Square San Francisco California,",,Color,149,220,0,3000,Al Pacino,22000,57300000,Crime,Robert De Niro,The Godfather: Part II,790926,39960,Robert Duvall,English,USA,R,13000000,14000,9,1.85,14000,Matching,,Crime,9
American Graffiti,1973,3355 Geary Blvd.,37.78116,-122.455,George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,"3355 Geary Blvd. San Francisco California,",,Color,100,112,0,425,Ron Howard,11000,115000000,Comedy,Harrison Ford,American Graffiti,63839,14954,Mackenzie Phillips,English,USA,PG,777000,2000,7.5,2.35,0,Matching,,Comedy,7.5
Point Blank,1967,Alcatraz Island,37.8271782,-122.4251237,John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,Keenan Wynn,"Alcatraz Island San Francisco California,","37.8271782,-122.4251240",Color,87,92,128,480,Angie Dickinson,756,,Crime,Lee Marvin,Point Blank,13640,2715,Carroll O'Connor,English,USA,Approved,3000000,754,7.4,2.35,3000,Matching,,Crime,7.4
The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),37.79514,-122.404,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,"750 Kearny Street San Francisco California,",, Black and White,90,92,0,18,Everett Sloane,1000,7927,Crime,Rita Hayworth,The Lady from Shanghai,19236,1055,Ted de Corsia,English,USA,Not Rated,2300000,29,7.7,1.37,0,Matching,,Crime,7.7
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),37.77856,-122.514,Henry King,Kathryn Scola,Tyrone Power,Alice Faye,Don Ameche,"Cliff House San Francisco California,",, Black and White,10,106,85,300,Don Ameche,480,,Drama,Tyrone Power,Alexander's Ragtime Band,1381,1833,John Carradine,English,USA,Approved,2000000,392,7,1.37,60,Matching,,Drama,7
