Title,Release Year,Locations,Latitude,Longitude,Director,Writer,Actor 1,Actor 2,Actor 3,Address,Full Address
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.76945,-122.466,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"Steinhart Aquarium San Francisco California,",
The Bachelor,1999,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.76945,-122.466,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,"Steinhart Aquarium San Francisco California,",
The Lady from Shanghai,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.76945,-122.466,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,"Steinhart Aquarium San Francisco California,",
The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",37.76945,-122.466,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,"Steinhart Aquarium San Francisco California,",
"Murder in the First, Season 2",2015,Stevenson Alley,39.78373,-100.446,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"Stevenson Alley San Francisco California,",
Godzilla,2014,Stockton & Clay St,37.79671,-122.408,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"Stockton St San Francisco California,",
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),37.79028,-122.407,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"Stockton Tunnel San Francisco California,",
Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street),37.79028,-122.407,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,"Stockton Tunnel San Francisco California,",
The Bachelor,1999,Stockton Tunnel (Stockton Street at Sutter Street),37.79028,-122.407,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,"Stockton Tunnel San Francisco California,",
Venom,2018,Stockton Tunnel btwn Sutter and Sacramento,37.79028,-122.407,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,"Stockton Tunnel San Francisco California,",
The Game,1997,"Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)",37.79028,-122.407,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,"Stockton Tunnel San Francisco California,",
"Murder in the First, Season 2",2015,Sue Bierman Park,37.79598,-122.397,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"Sue Bierman Park San Francisco California,",
The Last Black Man in San Francisco,2019,"Sunset Super, 2425 Irving St",37.76304,-122.484,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,"2425 Irving St San Francisco California,",
"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),37.76248,-122.507,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,"4520 Irving Street San Francisco California,",
Looking,2014,Sutro Baths,39.78373,-100.446,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"Sutro Baths San Francisco California,",
Looking,2014,Sutro Baths,39.78373,-100.446,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"Sutro Baths San Francisco California,",
Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),39.78373,-100.446,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,,"Sutro Baths San Francisco California,",
The Lineup,1958,Sutro Baths (Point Lobos Avenue),39.78373,-100.446,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,"Sutro Baths San Francisco California,",
Foul Play,1978,Sutter & Baker Streets,39.78373,-100.446,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,"Sutter Streets San Francisco California,",
Foul Play,1978,Sutter & Buchannan Streets,39.78373,-100.446,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,"Sutter Streets San Francisco California,",
The Enforcer,1976,Sutter & Webster Streets,39.78373,-100.446,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,"Sutter Streets San Francisco California,",
A Taiwanese Tale of Two Cities,2018,Sutter St at Taylor St,39.78373,-100.446,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"Sutter Streets San Francisco California,",
Terminator - Genisys,2015,Sutter Stockton Garage,37.79,-122.407,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Sutter Stockton Garage San Francisco California,",
Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton",37.79017,-122.407,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,"444 Stockton San Francisco California,",
Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton",37.79017,-122.407,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,"444 Stockton San Francisco California,",
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,37.79017,-122.407,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,"444 Stockton San Francisco California,",
The Bachelor,1999,Sutter-Stockton Garage (330 Sutter Street at Stockton),37.79017,-122.407,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,"444 Stockton San Francisco California,",
Steve Jobs,2015,Sutter-Stockton Garage (444  Stockton),37.79017,-122.407,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,"444 Stockton San Francisco California,",
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),37.79042,-122.446,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,"2107 Lyon Street San Francisco California,",
Quitters,2015,Tank Hill Park,37.76011,-122.448,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"Tank Hill Park San Francisco California,",
The Diary of a Teenage Girl,2015,Tank Hill Park,37.76011,-122.448,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"Tank Hill Park San Francisco California,",
Blue Jasmine,2013,Taylor & Green St.,37.78848,-122.412,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"Taylor San Francisco California,",
Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),37.78848,-122.412,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"Taylor San Francisco California,",
A View to a Kill,1985,Taylor and Jefferson Streets (Fisherman's Wharf),37.80917,-122.417,John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts,"Fisherman's Wharf San Francisco California,",
GirlBoss,2017,Taylor and Union,4.697201,-75.2516,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"Union San Francisco California,",
The OA Part II,2019,Taylor St btwn Green and Broadway,37.78826,-122.412,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,"Taylor St San Francisco California,",
Venom,2018,Taylor St Hill btwn Pacific and Greenwich,37.78826,-122.412,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,"Taylor St San Francisco California,",
Chance Season 2,2017,"Taylor St, north of Jefferson St to end",37.78826,-122.412,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,"Taylor St San Francisco California,",
Alcatraz,2012,Taylor St. from Broadway to Filbert,37.78826,-122.412,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,"Taylor St San Francisco California,",
Hulk,2003,Telegraph Hill,37.80273,-122.406,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,"Telegraph Hill San Francisco California,",
Innerspace,1987,Telegraph Hill,37.80273,-122.406,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,"Telegraph Hill San Francisco California,",
The House on Telegraph Hill,1951,Telegraph Hill,37.80273,-122.406,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,"Telegraph Hill San Francisco California,",
Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),37.80273,-122.406,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,"Telegraph Hill San Francisco California,",
Ant-Man and the Wasp,2018,Telegraph Hill/North Beach,37.80273,-122.406,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,"Telegraph Hill San Francisco California,",
Beautiful Boy,2018,Tenderloin Neighborhood,39.78373,-100.446,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,"Tenderloin Neighborhood San Francisco California,",
Chance- Season 1 ep109,2016,Terry A. Francois Blvd.,37.76448,-122.388,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Terry A. Francois Blvd. San Francisco California,",
Chance- Season 1 ep109,2016,Terry A. Francois Blvd.,37.76448,-122.388,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Terry A. Francois Blvd. San Francisco California,",
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),37.76136,-122.395,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,"Texas Street San Francisco California,",
A Taiwanese Tale of Two Cities,2018,Texas St at 19th St,37.76136,-122.395,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,"Texas Street San Francisco California,",
Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)",37.76302,-122.424,Loren Marsh,Loren Marsh,Chris Coburn,,,"500 Guerrero Street San Francisco California,",
Gentleman Jim,1942,The Barbary Coast,37.78462,-122.409,Raoul Walsh,Vincent Lawrence,Errol Flynn,Alexis Smith,Jack Carson,"The Barbary Coast San Francisco California,",
San Francisco,1936,The Barbary Coast,37.78462,-122.409,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy,"The Barbary Coast San Francisco California,",
Looking,2014,The Café at 2369 Market St.,37.79325,-122.396,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"2369 Market St. San Francisco California,",
The Dead Pool,1988,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)",37.78241,-122.414,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"281 Leavenworth Street San Francisco California,",
Common Threads: Stories From the Quilt,1989,The Castro,37.76086,-122.435,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,,"The Castro San Francisco California,",
Sausalito,2000,The Castro,37.76086,-122.435,Andrew Lau,,Maggie Cheung,Leon Lai,,"The Castro San Francisco California,",
The Times of Harvey Milk,1984,The Castro,37.76086,-122.435,Rob Epstein,Rob Epstein,Harvey Milk,Harvey Firestein,Anne Kronenberg,"The Castro San Francisco California,",
GirlBoss,2017,"The Castro Theater, 429 Castro St.",37.76199,-122.435,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"429 Castro St. San Francisco California,",
Sense8 - Season 2,2016,"The Castro Theater, 429 Castro St.",37.76898,-122.436,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,"430 Castro St. San Francisco California,",
Chance- Season 1 ep103,2016,"The Drew School, 2901 California",39.78373,-100.446,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"2901 California San Francisco California,",
Chance - Season 1 ep105,2016,"The Drew School, 2901 California",39.78373,-100.446,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee,"2902 California San Francisco California,",
Dirty Harry,1971,The Embarcadero,37.80669,-122.406,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,"The Embarcadero San Francisco California,",
Sneakers,1992,The Embarcadero,37.80669,-122.406,Phil Alden Robinson,Walter Parkes,Sydney Poitier,Robert Redford,,"The Embarcadero San Francisco California,",
The Caine Mutiny,1954,The Embarcadero,37.80669,-122.406,Edward Dmytryk,Stanley Roberts,Humphrey Bogart,Fred MacMurray,Jose Ferrer,"The Embarcadero San Francisco California,",
The Lineup,1958,The Embarcadero,37.80669,-122.406,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,"The Embarcadero San Francisco California,",
D.O.A,1950,The Embarcadero/ Ferry Building,37.80669,-122.406,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,"The Embarcadero San Francisco California,",
Sudden Impact,1983,The Embarcadero/Ferry Building,37.80669,-122.406,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,"The Embarcadero San Francisco California,",
"Looking ""Special""",2016,"The End Up, 401 6th Streeet",37.77894,-122.406,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett," 401 6th Street San Francisco California,",
Looking,2014,The Fairmont,37.79237,-122.41,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"The Fairmont San Francisco California,",
I Remember Mama,1948,The Ferry Building,37.79554,-122.393,George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka,"The Ferry Building San Francisco California,",
Hereafter,2010,The Final Final (2990 Baker Street),37.79993,-122.446,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,"2990 Baker Street San Francisco California,",
By Hook or By Crook,2001,The Lexington Club (3464 19th Street at Lexington),37.76026,-122.421,Harriet Dodge & Silas Howard,Harriet Dodge & Silas Howard,Silas Howard,,,"3464 19th Street  San Francisco California,",
The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,37.78471,-122.418,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"920 Larkin San Francisco California,",
Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),37.79538,-122.403,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart,Lauren Bacal,Bruce Bennett,"1359 Montgomery Street San Francisco California,",
Nine Months,1995,The Malloch Apartment Building (1360 Montgomery Street),37.79538,-122.403,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,"1360 Montgomery Street San Francisco California,",
Love & Taxes,2014,The Marsh Theatre (1062 Valencia Street),37.75586,-122.421,Jacob Kornbluth,Jacob Kornbluth,Jacob Kornbluth,,,"1062 Valencia Street San Francisco California,",
"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",39.78373,-100.446,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,"Martin Luther King, Jr. Drive San Francisco California,",
The Wedding Planner,2001,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",39.78373,-100.446,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,"Martin Luther King, Jr. Drive San Francisco California,",
Blue Jasmine,2013,The Ramp Restaurant,39.78373,-100.446,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,"The Ramp Restaurant San Francisco California,",
The Diary of a Teenage Girl,2015,The Royal Oak,39.78373,-100.446,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"The Royal Oak San Francisco California,",
Twisted,2004,The Saloon (1232 Grant Avenue),37.79856,-122.407,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,,"1232 Grant Avenue San Francisco California,",
The Rock,1996,The San Francisco Bay,37.77928,-122.419,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,"The San Francisco Bay San Francisco California,",
Americana,2015,The San Francisco School (300 Gavin St.),39.78373,-100.446,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"300 Gavin St. San Francisco California,",
Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),37.80917,-122.417,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,"Fisherman's Wharf San Francisco California,",
Looking,2014,The Stud,37.77047,-122.407,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"398 9th Street San Francisco California,",
"Looking ""Special""",2016,"The Stud, 399 9th Street",37.77282,-122.41,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"399 9th Street San Francisco California,",
George of the Jungle,1997,The Tamalpais Building (1201 Greenwich Street at Hyde),37.80312,-122.403,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,"1200 Greenwich Street  San Francisco California,",
Sudden Fear,1952,The Tamalpais Building (1201 Greenwich Street at Hyde),37.80312,-122.403,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,"1201 Greenwich Street  San Francisco California,",
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park",37.76836,-122.441,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,,"Buena Vista Park San Francisco California,",
Sense8 - Season 2,2016,"The Women's Building, 3543 18th St.",37.76143,-122.423,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,"3543 18th St. San Francisco California,",
Looking,2014,"Tiburon Hiking Trail, Tiburon, California",39.78373,-100.446,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"Tiburon California San Francisco California,",
Quitters,2015,Tonga Room,37.80498,-122.449,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,"949 Mason Street San Francisco California,",
Looking Season 2 ep 209,2015,"Tonga Room, Fairmont Hotel, 950 Mason Street",37.79237,-122.41,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"950 Mason Street San Francisco California,",
The Diary of a Teenage Girl,2015,Tonic,37.7987,-122.422,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,"Tonic San Francisco California,",
Basic Instinct,1992,Tosca Café (242 Columbus Avenue),37.80145,-122.412,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"239 Columbus Avenue, North Beach San Francisco California,",
Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",37.80145,-122.412,Michael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic,"240 Columbus Avenue, North Beach San Francisco California,",
The Assassination of Richard Nixon,2004,"Tosca Café (242 Columbus Avenue, North Beach)",37.80145,-122.412,Niels Mueller,Niels Mueller & Kevin Kennedy,Sean Penn,Naomi Watts,,"241 Columbus Avenue, North Beach San Francisco California,",
Until the End of the World,1991,"Tosca Café (242 Columbus Avenue, North Beach)",37.80145,-122.412,Wim Wenders,Wim Wenders,Solveig Dommartin,,,"242 Columbus Avenue, North Beach San Francisco California,",
Invasion of the Body Snatchers,1978,Transamerica Building (600 Montgomery Street at Clay),37.79538,-122.403,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams,"597 Montgomery Street San Francisco California,",
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),37.79538,-122.403,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"598 Montgomery Street San Francisco California,",
San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),37.79538,-122.403,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"599 Montgomery Street San Francisco California,",
San Andreas,2015,TransAmerica Pyramid (600 Montgomery Street),37.7952,-122.403,Brad Peyton,Allan Loeb,Dwayne Johnson,,,"600 Montgomery Street San Francisco California,",
Basic Instinct,1992,Transbay Terminal (Mission Street at 1st Street),37.79376,-122.393,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,"422 Mission Street  San Francisco California,",
Chu Chu and the Philly Flash,1981,Transbay Terminal (Mission Street at 1st Street),37.79376,-122.393,David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,,"423 Mission Street  San Francisco California,",
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),37.79376,-122.393,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,"424 Mission Street  San Francisco California,",
The Other Sister,1999,Transbay Terminal (Mission Street at 1st Street),37.79376,-122.393,Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,,"425 Mission Street  San Francisco California,",
Always Be My Maybe,2019,"Trax Bar, Haight St",37.77016,-122.446,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,"Haight St San Francisco California,",
Americana,2015,Treasure Island,37.82335,-122.37,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,"Treasure Island San Francisco California,",
Bicentennial Man,1999,Treasure Island,37.82335,-122.37,Chris Columbus,Nicholas Kazan,Robin Williams,,,"Treasure Island San Francisco California,",
Chance- Season 1 ep106,2016,Treasure Island,37.82335,-122.37,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"Treasure Island San Francisco California,",
Copycat,1995,Treasure Island,37.82335,-122.37,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,"Treasure Island San Francisco California,",
Etruscan Smile,2017,Treasure Island,37.82335,-122.37,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Treasure Island San Francisco California,",
Flubber,1997,Treasure Island,37.82335,-122.37,Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,,"Treasure Island San Francisco California,",
Hulk,2003,Treasure Island,37.82335,-122.37,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,"Treasure Island San Francisco California,",
Looking,2014,Treasure Island,37.82335,-122.37,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"Treasure Island San Francisco California,",
Milk,2008,Treasure Island,37.82335,-122.37,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,,"Treasure Island San Francisco California,",
"Murder in the First, Season 2",2015,Treasure Island,37.82335,-122.37,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"Treasure Island San Francisco California,",
Patch Adams,1998,Treasure Island,37.82335,-122.37,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,"Treasure Island San Francisco California,",
Phenomenon,1996,Treasure Island,37.82335,-122.37,Jon Turteltaub,Gerald Dipego,John Travolta,Kyra Sedgwick,,"Treasure Island San Francisco California,",
Rent,2005,Treasure Island,37.82335,-122.37,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,"Treasure Island San Francisco California,",
What Dreams May Come,1998,Treasure Island,37.82335,-122.37,Vincent Ward,Ron Bass,Robin Williams,"Cuba Gooding, Jr.",,"Treasure Island San Francisco California,",
Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms",37.82008,-122.374,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Ave of the Palms San Francisco California,",
Ant-Man,2015,"Treasure Island, Building #1, Ave of the Palms",37.82008,-122.374,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,"Ave of the Palms San Francisco California,",
Blue Jasmine,2013,Trolley Car from Market and 11th,37.79325,-122.396,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard," Market st San Francisco California,",
Summertime,2015,Turk St between Lyon and Baker St,37.7807,-122.431,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,"Turk St San Francisco California,",
Etruscan Smile,2017,Turk Street between Mason & Leavenworth,37.7807,-122.431,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"Turk Street  San Francisco California,",
Pushing Dead,2016,Turk Street between Steiner and Scott Streets,37.7807,-122.431,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"Turk Street  San Francisco California,",
Copycat,1995,Twin Peaks,37.76051,-122.447,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,"Twin Peaks Blvd. San Francisco California,",
Freebie and the Bean,1974,Twin Peaks,37.76051,-122.447,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"Twin Peaks Blvd. San Francisco California,",
When We Rise,2017,"Twin Peaks Bar, 401 Castro",37.76086,-122.435,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"401 Castro San Francisco California,",
Birth of the Dragon,2016,Twin Peaks Blvd.,37.76051,-122.447,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Twin Peaks Blvd. San Francisco California,",
Birth of the Dragon,2016,Twin Peaks Blvd.,37.76051,-122.447,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,"Twin Peaks Blvd. San Francisco California,",
Looking Season 2 ep 210,2015,Twin Peaks Park,39.78373,-100.446,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,"Twin Peaks Park San Francisco California,",
Etruscan Smile,2017,UCSF Mt Zion 1600 Divisadero,37.78483,-122.439,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,"1600 Divisadero San Francisco California,",
Chance - Season 1 Pilot,2016,UN Plaza/ Civic Center Bart steps,37.78016,-122.414,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,"United Nations Plaza San Francisco California,",
Vegas in Space,1992,Under Highway 101 (near Potrero and Cesar Chavez Streets),37.76413,-122.403,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,"Potrero st San Francisco California,",
GirlBoss,2017,"Underground SF, 424 Haight St.",37.77235,-122.429,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,"424 Haight St. San Francisco California,",
D.O.A,1950,Union Square,37.78794,-122.408,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,"Union Square San Francisco California,",
High Crimes,2002,Union Square,37.78794,-122.408,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,"Union Square San Francisco California,",
Looking,2014,Union Square,37.78794,-122.408,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"Union Square San Francisco California,",
Terminator - Genisys,2015,Union Square,37.78794,-122.408,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"Union Square San Francisco California,",
